	gene_id	unqlen	simple	genename	genetype
LINC02152	ENSG00000261319.1	1281	ENSG00000261319	LINC02152	lincRNA
LINC00471	ENSG00000181798.2	1282	ENSG00000181798	LINC00471	lincRNA
FAM19A3	ENSG00000184599.13	1282	ENSG00000184599	FAM19A3	protein_coding
KRT18P38	ENSG00000214012.4	1282	ENSG00000214012	KRT18P38	processed_pseudogene
AC073592.1	ENSG00000214650.2	1282	ENSG00000214650	AC073592.1	lincRNA
CDY17P	ENSG00000231375.1	1282	ENSG00000231375	CDY17P	unprocessed_pseudogene
RPL4P2	ENSG00000232341.2	1282	ENSG00000232341	RPL4P2	processed_pseudogene
KRT18P37	ENSG00000253943.1	1282	ENSG00000253943	KRT18P37	processed_pseudogene
AC040978.1	ENSG00000274064.1	1282	ENSG00000274064	AC040978.1	processed_pseudogene
NF1P11	ENSG00000278184.1	1282	ENSG00000278184	NF1P11	unprocessed_pseudogene
KRT18P11	ENSG00000215089.3	1283	ENSG00000215089	KRT18P11	processed_pseudogene
KRT18P23	ENSG00000215333.3	1283	ENSG00000215333	KRT18P23	processed_pseudogene
POM121L12	ENSG00000221900.5	1283	ENSG00000221900	POM121L12	protein_coding
TRIM60P13	ENSG00000227247.1	1283	ENSG00000227247	TRIM60P13	processed_pseudogene
AL132709.1	ENSG00000230805.6	1283	ENSG00000230805	AL132709.1	lincRNA
AC067904.2	ENSG00000253899.1	1283	ENSG00000253899	AC067904.2	processed_pseudogene
AL049634.2	ENSG00000260861.6	1283	ENSG00000260861	AL049634.2	protein_coding
PDCD6IPP1	ENSG00000275325.4	1283	ENSG00000275325	PDCD6IPP1	transcribed_unprocessed_pseudogene
RBBP4P3	ENSG00000276290.1	1283	ENSG00000276290	RBBP4P3	processed_pseudogene
MRPS18A	ENSG00000096080.11	1284	ENSG00000096080	MRPS18A	protein_coding
EBI3	ENSG00000105246.5	1284	ENSG00000105246	EBI3	protein_coding
FUOM	ENSG00000148803.11	1284	ENSG00000148803	FUOM	protein_coding
AL583835.2	ENSG00000216621.8	1284	ENSG00000216621	AL583835.2	transcribed_processed_pseudogene
AC009226.1	ENSG00000223725.6	1284	ENSG00000223725	AC009226.1	antisense_RNA
AL138826.1	ENSG00000226733.2	1284	ENSG00000226733	AL138826.1	protein_coding
RPL4P4	ENSG00000229638.1	1284	ENSG00000229638	RPL4P4	processed_pseudogene
AC092568.1	ENSG00000236596.1	1284	ENSG00000236596	AC092568.1	processed_pseudogene
AC024475.4	ENSG00000255314.2	1284	ENSG00000255314	AC024475.4	lincRNA
AC026464.4	ENSG00000260914.3	1284	ENSG00000260914	AC026464.4	protein_coding
LINC01989	ENSG00000261156.6	1284	ENSG00000261156	LINC01989	lincRNA
AP003071.4	ENSG00000261625.1	1284	ENSG00000261625	AP003071.4	sense_overlapping
HOXA6	ENSG00000106006.6	1285	ENSG00000106006	HOXA6	protein_coding
OR2T27	ENSG00000187701.4	1285	ENSG00000187701	OR2T27	protein_coding
KRT18P44	ENSG00000218728.3	1285	ENSG00000218728	KRT18P44	processed_pseudogene
POM121L10P	ENSG00000224124.3	1285	ENSG00000224124	POM121L10P	processed_pseudogene
AC078845.1	ENSG00000232053.6	1285	ENSG00000232053	AC078845.1	lincRNA
LINC01647	ENSG00000235643.1	1285	ENSG00000235643	LINC01647	lincRNA
UBE2C	ENSG00000175063.16	1286	ENSG00000175063	UBE2C	protein_coding
KRT18P65	ENSG00000215807.4	1286	ENSG00000215807	KRT18P65	processed_pseudogene
AC118942.1	ENSG00000255532.1	1286	ENSG00000255532	AC118942.1	transcribed_unprocessed_pseudogene
AL158212.4	ENSG00000279315.1	1286	ENSG00000279315	AL158212.4	TEC
KRT33A	ENSG00000006059.3	1287	ENSG00000006059	KRT33A	protein_coding
IZUMO3	ENSG00000205442.12	1287	ENSG00000205442	IZUMO3	protein_coding
AC121338.1	ENSG00000205537.2	1287	ENSG00000205537	AC121338.1	antisense_RNA
KRT18P10	ENSG00000214207.2	1287	ENSG00000214207	KRT18P10	processed_pseudogene
KRT18P32	ENSG00000215149.3	1287	ENSG00000215149	KRT18P32	processed_pseudogene
FAM238B	ENSG00000231976.8	1287	ENSG00000231976	FAM238B	transcribed_unprocessed_pseudogene
KRT18P62	ENSG00000233471.2	1287	ENSG00000233471	KRT18P62	processed_pseudogene
KRT18P3	ENSG00000215553.3	1288	ENSG00000215553	KRT18P3	processed_pseudogene
TUBB8P6	ENSG00000224625.2	1288	ENSG00000224625	TUBB8P6	unprocessed_pseudogene
EEF1GP3	ENSG00000226845.1	1288	ENSG00000226845	EEF1GP3	processed_pseudogene
SLC9B1P4	ENSG00000227367.1	1288	ENSG00000227367	SLC9B1P4	unprocessed_pseudogene
CT47A7	ENSG00000228517.2	1288	ENSG00000228517	CT47A7	protein_coding
KRT18P4	ENSG00000229222.1	1288	ENSG00000229222	KRT18P4	processed_pseudogene
CT47A1	ENSG00000236371.5	1288	ENSG00000236371	CT47A1	protein_coding
REXO1L3P	ENSG00000273567.1	1288	ENSG00000273567	REXO1L3P	processed_pseudogene
MTNR1A	ENSG00000168412.6	1289	ENSG00000168412	MTNR1A	protein_coding
LINC00301	ENSG00000181995.11	1289	ENSG00000181995	LINC00301	lincRNA
ASB12	ENSG00000198881.9	1289	ENSG00000198881	ASB12	protein_coding
MS4A13	ENSG00000204979.7	1289	ENSG00000204979	MS4A13	protein_coding
RBBP4P4	ENSG00000214561.3	1289	ENSG00000214561	RBBP4P4	processed_pseudogene
ARMC8P1	ENSG00000225254.2	1289	ENSG00000225254	ARMC8P1	processed_pseudogene
GOT2P3	ENSG00000233719.4	1289	ENSG00000233719	GOT2P3	transcribed_processed_pseudogene
FAM138D	ENSG00000249054.2	1289	ENSG00000249054	FAM138D	lincRNA
AC092284.1	ENSG00000250391.1	1289	ENSG00000250391	AC092284.1	processed_pseudogene
AP004247.1	ENSG00000254853.1	1289	ENSG00000254853	AP004247.1	processed_pseudogene
LINC02552	ENSG00000256422.5	1289	ENSG00000256422	LINC02552	lincRNA
LINC00628	ENSG00000280924.1	1289	ENSG00000280924	LINC00628	lincRNA
RHEBL1	ENSG00000167550.10	1290	ENSG00000167550	RHEBL1	protein_coding
KRT18P13	ENSG00000214417.4	1290	ENSG00000214417	KRT18P13	processed_pseudogene
MFSD13B	ENSG00000230872.1	1290	ENSG00000230872	MFSD13B	unitary_pseudogene
REXO1L10P	ENSG00000276540.1	1290	ENSG00000276540	REXO1L10P	processed_pseudogene
BACH1-IT2	ENSG00000228817.4	1291	ENSG00000228817	BACH1-IT2	lincRNA
STK24P1	ENSG00000230079.1	1291	ENSG00000230079	STK24P1	processed_pseudogene
ATP5A1P8	ENSG00000234720.3	1291	ENSG00000234720	ATP5A1P8	processed_pseudogene
KRT18P15	ENSG00000234737.1	1291	ENSG00000234737	KRT18P15	processed_pseudogene
TMEM30CP	ENSG00000235156.5	1291	ENSG00000235156	TMEM30CP	transcribed_unitary_pseudogene
KRT18P5	ENSG00000236670.1	1291	ENSG00000236670	KRT18P5	processed_pseudogene
PBX2P1	ENSG00000244171.4	1291	ENSG00000244171	PBX2P1	processed_pseudogene
AC090825.1	ENSG00000259363.5	1291	ENSG00000259363	AC090825.1	lincRNA
PTPRCAP	ENSG00000213402.2	1292	ENSG00000213402	PTPRCAP	protein_coding
KRT18P31	ENSG00000249850.1	1292	ENSG00000249850	KRT18P31	processed_pseudogene
AC026954.1	ENSG00000224647.2	1293	ENSG00000224647	AC026954.1	unitary_pseudogene
KRT41P	ENSG00000225438.1	1293	ENSG00000225438	KRT41P	unprocessed_pseudogene
AL122058.1	ENSG00000226308.1	1293	ENSG00000226308	AL122058.1	lincRNA
AP000688.1	ENSG00000230212.6	1293	ENSG00000230212	AP000688.1	sense_intronic
AC104836.2	ENSG00000273487.1	1293	ENSG00000273487	AC104836.2	lincRNA
AC126474.1	ENSG00000279148.1	1293	ENSG00000279148	AC126474.1	TEC
ARL14	ENSG00000179674.3	1294	ENSG00000179674	ARL14	protein_coding
AC245128.1	ENSG00000215765.3	1294	ENSG00000215765	AC245128.1	processed_transcript
VIM2P	ENSG00000220548.3	1294	ENSG00000220548	VIM2P	processed_pseudogene
CT47A11	ENSG00000226929.3	1294	ENSG00000226929	CT47A11	protein_coding
CLK2P1	ENSG00000232553.3	1294	ENSG00000232553	CLK2P1	processed_pseudogene
AP000534.1	ENSG00000233408.1	1294	ENSG00000233408	AP000534.1	antisense_RNA
KRT18P16	ENSG00000235275.3	1294	ENSG00000235275	KRT18P16	processed_pseudogene
AC010627.1	ENSG00000248791.1	1294	ENSG00000248791	AC010627.1	processed_pseudogene
AC034102.6	ENSG00000258317.1	1294	ENSG00000258317	AC034102.6	antisense_RNA
AC021351.1	ENSG00000259639.5	1294	ENSG00000259639	AC021351.1	lincRNA
AC015910.1	ENSG00000265460.6	1294	ENSG00000265460	AC015910.1	transcribed_processed_pseudogene
AC024589.2	ENSG00000270430.1	1294	ENSG00000270430	AC024589.2	processed_pseudogene
HIST1H4I	ENSG00000276180.1	1294	ENSG00000276180	HIST1H4I	protein_coding
AC105105.5	ENSG00000276403.1	1294	ENSG00000276403	AC105105.5	lincRNA
AC009145.4	ENSG00000280274.1	1294	ENSG00000280274	AC009145.4	TEC
C1QL1	ENSG00000131094.3	1295	ENSG00000131094	C1QL1	protein_coding
B3GALNT2P1	ENSG00000218725.2	1295	ENSG00000218725	B3GALNT2P1	processed_pseudogene
GCNT1P1	ENSG00000236474.1	1295	ENSG00000236474	GCNT1P1	processed_pseudogene
LINC01585	ENSG00000245479.2	1295	ENSG00000245479	LINC01585	sense_overlapping
AC084759.2	ENSG00000259669.5	1295	ENSG00000259669	AC084759.2	lincRNA
AC027575.2	ENSG00000264278.1	1295	ENSG00000264278	AC027575.2	lincRNA
AC092683.2	ENSG00000278766.2	1295	ENSG00000278766	AC092683.2	lincRNA
CXCL1	ENSG00000163739.4	1296	ENSG00000163739	CXCL1	protein_coding
BECN2	ENSG00000196289.7	1296	ENSG00000196289	BECN2	protein_coding
TMEM14EP	ENSG00000221962.5	1296	ENSG00000221962	TMEM14EP	transcribed_processed_pseudogene
AC097381.1	ENSG00000228919.5	1296	ENSG00000228919	AC097381.1	lincRNA
AC010900.1	ENSG00000232479.2	1296	ENSG00000232479	AC010900.1	processed_pseudogene
SUCLG2P2	ENSG00000236349.1	1296	ENSG00000236349	SUCLG2P2	processed_pseudogene
GUSBP3	ENSG00000253203.6	1296	ENSG00000253203	GUSBP3	transcribed_unprocessed_pseudogene
PSMC1P8	ENSG00000256896.1	1296	ENSG00000256896	PSMC1P8	processed_pseudogene
NNAT	ENSG00000053438.8	1297	ENSG00000053438	NNAT	protein_coding
NENF	ENSG00000117691.9	1297	ENSG00000117691	NENF	protein_coding
OR5AK3P	ENSG00000181282.4	1297	ENSG00000181282	OR5AK3P	unprocessed_pseudogene
CYSRT1	ENSG00000197191.4	1297	ENSG00000197191	CYSRT1	protein_coding
AL365223.1	ENSG00000213109.4	1297	ENSG00000213109	AL365223.1	transcribed_processed_pseudogene
KRT18P60	ENSG00000215208.3	1297	ENSG00000215208	KRT18P60	processed_pseudogene
AL139246.2	ENSG00000225931.3	1297	ENSG00000225931	AL139246.2	TEC
AP003396.2	ENSG00000254590.1	1297	ENSG00000254590	AP003396.2	processed_pseudogene
ANP32BP1	ENSG00000259790.1	1297	ENSG00000259790	ANP32BP1	transcribed_processed_pseudogene
AC114689.2	ENSG00000265240.1	1297	ENSG00000265240	AC114689.2	processed_pseudogene
AL356740.1	ENSG00000267868.1	1297	ENSG00000267868	AL356740.1	lincRNA
SS18L2	ENSG00000008324.11	1298	ENSG00000008324	SS18L2	protein_coding
SSX1	ENSG00000126752.7	1298	ENSG00000126752	SSX1	protein_coding
GOLGA6L11P	ENSG00000223698.3	1298	ENSG00000223698	GOLGA6L11P	unprocessed_pseudogene
CT47A10	ENSG00000224089.3	1298	ENSG00000224089	CT47A10	protein_coding
CT47A6	ENSG00000226023.6	1298	ENSG00000226023	CT47A6	protein_coding
CT47A9	ENSG00000226600.3	1298	ENSG00000226600	CT47A9	protein_coding
FAF2P1	ENSG00000228759.1	1298	ENSG00000228759	FAF2P1	processed_pseudogene
CT47A8	ENSG00000230347.5	1298	ENSG00000230347	CT47A8	protein_coding
CT47A4	ENSG00000230594.3	1298	ENSG00000230594	CT47A4	protein_coding
AL157400.3	ENSG00000235100.3	1298	ENSG00000235100	AL157400.3	lincRNA
CT47A3	ENSG00000236126.3	1298	ENSG00000236126	CT47A3	protein_coding
CT47A5	ENSG00000237957.6	1298	ENSG00000237957	CT47A5	protein_coding
CT47A2	ENSG00000242362.2	1298	ENSG00000242362	CT47A2	protein_coding
SENCR	ENSG00000254703.2	1298	ENSG00000254703	SENCR	antisense_RNA
KRT18P61	ENSG00000267083.1	1298	ENSG00000267083	KRT18P61	processed_pseudogene
AL008638.5	ENSG00000279914.1	1298	ENSG00000279914	AL008638.5	lincRNA
GLRX2	ENSG00000023572.8	1299	ENSG00000023572	GLRX2	protein_coding
BCAS2	ENSG00000116752.5	1299	ENSG00000116752	BCAS2	protein_coding
MT2A	ENSG00000125148.6	1299	ENSG00000125148	MT2A	protein_coding
RARRES3	ENSG00000133321.10	1299	ENSG00000133321	RARRES3	protein_coding
LCE1E	ENSG00000186226.8	1299	ENSG00000186226	LCE1E	protein_coding
EEF1GP1	ENSG00000186676.3	1299	ENSG00000186676	EEF1GP1	processed_pseudogene
GOLGA6L16P	ENSG00000197092.5	1299	ENSG00000197092	GOLGA6L16P	unprocessed_pseudogene
FOXB2	ENSG00000204612.1	1299	ENSG00000204612	FOXB2	protein_coding
KRT18P27	ENSG00000224419.1	1299	ENSG00000224419	KRT18P27	processed_pseudogene
KRT18P39	ENSG00000224791.1	1299	ENSG00000224791	KRT18P39	processed_pseudogene
AC103564.2	ENSG00000232760.1	1299	ENSG00000232760	AC103564.2	unprocessed_pseudogene
AL161630.1	ENSG00000233569.1	1299	ENSG00000233569	AL161630.1	lincRNA
AC012615.1	ENSG00000261526.2	1299	ENSG00000261526	AC012615.1	lincRNA
GAL	ENSG00000069482.6	1300	ENSG00000069482	GAL	protein_coding
ACY3	ENSG00000132744.7	1300	ENSG00000132744	ACY3	protein_coding
H1FNT	ENSG00000187166.1	1300	ENSG00000187166	H1FNT	protein_coding
LGMNP1	ENSG00000214269.3	1300	ENSG00000214269	LGMNP1	processed_pseudogene
SSXP3	ENSG00000225198.1	1300	ENSG00000225198	SSXP3	unprocessed_pseudogene
AHCYP2	ENSG00000238181.2	1300	ENSG00000238181	AHCYP2	processed_pseudogene
AL513185.3	ENSG00000238215.1	1300	ENSG00000238215	AL513185.3	processed_pseudogene
TUBB1P1	ENSG00000249726.1	1300	ENSG00000249726	TUBB1P1	unprocessed_pseudogene
AC107982.1	ENSG00000250111.3	1300	ENSG00000250111	AC107982.1	unprocessed_pseudogene
KRT18P9	ENSG00000271231.1	1300	ENSG00000271231	KRT18P9	processed_pseudogene
AC233968.1	ENSG00000274615.1	1300	ENSG00000274615	AC233968.1	unprocessed_pseudogene
NEURL2	ENSG00000124257.6	1301	ENSG00000124257	NEURL2	protein_coding
TUBBP10	ENSG00000226147.1	1301	ENSG00000226147	TUBBP10	processed_pseudogene
SEPT7P7	ENSG00000229897.2	1301	ENSG00000229897	SEPT7P7	processed_pseudogene
AC017007.2	ENSG00000234841.4	1301	ENSG00000234841	AC017007.2	processed_pseudogene
AC073911.1	ENSG00000246394.7	1301	ENSG00000246394	AC073911.1	lincRNA
FAM86HP	ENSG00000253540.5	1301	ENSG00000253540	FAM86HP	transcribed_unprocessed_pseudogene
GJA8	ENSG00000121634.5	1302	ENSG00000121634	GJA8	protein_coding
CABP2	ENSG00000167791.12	1302	ENSG00000167791	CABP2	protein_coding
DRICH1	ENSG00000189269.12	1302	ENSG00000189269	DRICH1	protein_coding
AC099689.1	ENSG00000279416.1	1302	ENSG00000279416	AC099689.1	TEC
ERAS	ENSG00000187682.2	1303	ENSG00000187682	ERAS	protein_coding
CD300LD	ENSG00000204345.1	1303	ENSG00000204345	CD300LD	protein_coding
KRTAP9-6	ENSG00000212659.1	1303	ENSG00000212659	KRTAP9-6	protein_coding
CLUHP2	ENSG00000228945.3	1303	ENSG00000228945	CLUHP2	unprocessed_pseudogene
BIN2P2	ENSG00000248684.1	1303	ENSG00000248684	BIN2P2	processed_pseudogene
MTRNR2L8	ENSG00000255823.4	1303	ENSG00000255823	MTRNR2L8	protein_coding
TEN1	ENSG00000257949.6	1303	ENSG00000257949	TEN1	protein_coding
AC074138.1	ENSG00000276071.1	1303	ENSG00000276071	AC074138.1	lincRNA
AC064801.2	ENSG00000279236.1	1303	ENSG00000279236	AC064801.2	TEC
AC022417.1	ENSG00000279923.1	1303	ENSG00000279923	AC022417.1	TEC
RPL4P6	ENSG00000230071.2	1304	ENSG00000230071	RPL4P6	processed_pseudogene
RNF148	ENSG00000235631.1	1304	ENSG00000235631	RNF148	protein_coding
ENO1P1	ENSG00000244457.2	1304	ENSG00000244457	ENO1P1	transcribed_processed_pseudogene
AC109588.1	ENSG00000250038.5	1304	ENSG00000250038	AC109588.1	lincRNA
AC116903.2	ENSG00000260661.1	1304	ENSG00000260661	AC116903.2	antisense_RNA
MIA	ENSG00000261857.6	1304	ENSG00000261857	MIA	protein_coding
AL583859.2	ENSG00000270111.2	1304	ENSG00000270111	AL583859.2	lincRNA
FBP2	ENSG00000130957.4	1305	ENSG00000130957	FBP2	protein_coding
ATP6V1G1	ENSG00000136888.6	1305	ENSG00000136888	ATP6V1G1	protein_coding
OR10AD1	ENSG00000172640.3	1305	ENSG00000172640	OR10AD1	protein_coding
AC096669.1	ENSG00000225588.2	1305	ENSG00000225588	AC096669.1	lincRNA
TUBB7P	ENSG00000251297.1	1305	ENSG00000251297	TUBB7P	unprocessed_pseudogene
AC091551.1	ENSG00000267699.2	1305	ENSG00000267699	AC091551.1	protein_coding
AC129492.6	ENSG00000275011.1	1305	ENSG00000275011	AC129492.6	unprocessed_pseudogene
ZNHIT2	ENSG00000174276.6	1306	ENSG00000174276	ZNHIT2	protein_coding
HES5	ENSG00000197921.5	1306	ENSG00000197921	HES5	protein_coding
SLC10A5P1	ENSG00000205184.2	1306	ENSG00000205184	SLC10A5P1	unprocessed_pseudogene
DDX11L16	ENSG00000227159.8	1306	ENSG00000227159	DDX11L16	unprocessed_pseudogene
TUBB1P2	ENSG00000228578.1	1306	ENSG00000228578	TUBB1P2	unprocessed_pseudogene
ASNSP3	ENSG00000236554.1	1306	ENSG00000236554	ASNSP3	processed_pseudogene
DDX18P5	ENSG00000255220.1	1306	ENSG00000255220	DDX18P5	processed_pseudogene
AC097374.2	ENSG00000278631.1	1306	ENSG00000278631	AC097374.2	processed_pseudogene
GPR45	ENSG00000135973.2	1307	ENSG00000135973	GPR45	protein_coding
OR1E1	ENSG00000180016.2	1307	ENSG00000180016	OR1E1	protein_coding
TRIM64EP	ENSG00000223709.5	1307	ENSG00000223709	TRIM64EP	unprocessed_pseudogene
EEF1GP4	ENSG00000240138.1	1307	ENSG00000240138	EEF1GP4	processed_pseudogene
AL583722.1	ENSG00000256050.2	1307	ENSG00000256050	AL583722.1	lincRNA
APOOP5	ENSG00000260240.4	1307	ENSG00000260240	APOOP5	transcribed_processed_pseudogene
MMP26	ENSG00000167346.7	1308	ENSG00000167346	MMP26	protein_coding
TEX36	ENSG00000175018.12	1308	ENSG00000175018	TEX36	protein_coding
Z93403.1	ENSG00000231772.5	1308	ENSG00000231772	Z93403.1	lincRNA
PLCH1-AS1	ENSG00000239508.1	1308	ENSG00000239508	PLCH1-AS1	antisense_RNA
DENND5B-AS1	ENSG00000255867.1	1308	ENSG00000255867	DENND5B-AS1	antisense_RNA
AHCYP7	ENSG00000259465.2	1308	ENSG00000259465	AHCYP7	processed_pseudogene
AL627171.1	ENSG00000278002.1	1308	ENSG00000278002	AL627171.1	lincRNA
AC063926.2	ENSG00000279146.1	1308	ENSG00000279146	AC063926.2	TEC
NRGN	ENSG00000154146.12	1309	ENSG00000154146	NRGN	protein_coding
AL513523.1	ENSG00000223599.1	1309	ENSG00000223599	AL513523.1	processed_pseudogene
GOT2P1	ENSG00000231900.3	1309	ENSG00000231900	GOT2P1	processed_pseudogene
SUCLA2P2	ENSG00000233107.1	1309	ENSG00000233107	SUCLA2P2	processed_pseudogene
ZNF652P1	ENSG00000235278.2	1309	ENSG00000235278	ZNF652P1	processed_pseudogene
EEF1GP5	ENSG00000234785.1	1310	ENSG00000234785	EEF1GP5	processed_pseudogene
AC117409.1	ENSG00000240854.1	1310	ENSG00000240854	AC117409.1	processed_pseudogene
LINC01499	ENSG00000255171.5	1310	ENSG00000255171	LINC01499	lincRNA
AC005332.1	ENSG00000265100.1	1310	ENSG00000265100	AC005332.1	antisense_RNA
AF274856.1	ENSG00000266560.5	1310	ENSG00000266560	AF274856.1	processed_transcript
CACNG5	ENSG00000075429.8	1311	ENSG00000075429	CACNG5	protein_coding
TLCD1	ENSG00000160606.10	1311	ENSG00000160606	TLCD1	protein_coding
PRRX2	ENSG00000167157.10	1311	ENSG00000167157	PRRX2	protein_coding
SSX7	ENSG00000187754.8	1311	ENSG00000187754	SSX7	protein_coding
RPL4P3	ENSG00000230364.1	1311	ENSG00000230364	RPL4P3	processed_pseudogene
AC234782.2	ENSG00000231728.3	1311	ENSG00000231728	AC234782.2	antisense_RNA
PRB1	ENSG00000251655.6	1311	ENSG00000251655	PRB1	protein_coding
SIGLEC20P	ENSG00000268336.1	1311	ENSG00000268336	SIGLEC20P	unprocessed_pseudogene
AC135279.3	ENSG00000277895.1	1311	ENSG00000277895	AC135279.3	antisense_RNA
FGF21	ENSG00000105550.8	1312	ENSG00000105550	FGF21	protein_coding
SHMT1P1	ENSG00000224751.2	1312	ENSG00000224751	SHMT1P1	processed_pseudogene
AL357060.1	ENSG00000230533.2	1312	ENSG00000230533	AL357060.1	lincRNA
IL9RP2	ENSG00000232420.2	1312	ENSG00000232420	IL9RP2	unprocessed_pseudogene
CASC4P1	ENSG00000238132.2	1312	ENSG00000238132	CASC4P1	processed_pseudogene
BBOX1-AS1	ENSG00000254560.5	1312	ENSG00000254560	BBOX1-AS1	antisense_RNA
AC084033.3	ENSG00000257698.1	1312	ENSG00000257698	AC084033.3	lincRNA
AC022898.2	ENSG00000273792.1	1312	ENSG00000273792	AC022898.2	sense_intronic
AC114763.1	ENSG00000228043.5	1313	ENSG00000228043	AC114763.1	lincRNA
GSTA2	ENSG00000244067.2	1313	ENSG00000244067	GSTA2	protein_coding
AC131649.1	ENSG00000260756.1	1313	ENSG00000260756	AC131649.1	lincRNA
AL008718.2	ENSG00000273287.2	1313	ENSG00000273287	AL008718.2	lincRNA
PABPN1L	ENSG00000205022.9	1314	ENSG00000205022	PABPN1L	protein_coding
AL138725.1	ENSG00000218976.2	1314	ENSG00000218976	AL138725.1	unprocessed_pseudogene
PSMC1P12	ENSG00000226126.2	1314	ENSG00000226126	PSMC1P12	processed_pseudogene
AL512604.2	ENSG00000233242.2	1314	ENSG00000233242	AL512604.2	antisense_RNA
AC241377.2	ENSG00000275585.2	1314	ENSG00000275585	AC241377.2	transcribed_unprocessed_pseudogene
CCNT2P1	ENSG00000225672.1	1315	ENSG00000225672	CCNT2P1	processed_pseudogene
AHCYP4	ENSG00000232992.2	1315	ENSG00000232992	AHCYP4	processed_pseudogene
EEF1A1P30	ENSG00000237757.2	1315	ENSG00000237757	EEF1A1P30	processed_pseudogene
PSMC1P7	ENSG00000243838.1	1315	ENSG00000243838	PSMC1P7	processed_pseudogene
LINC02415	ENSG00000248703.2	1315	ENSG00000248703	LINC02415	lincRNA
AL590787.1	ENSG00000260509.2	1315	ENSG00000260509	AL590787.1	lincRNA
AC083805.3	ENSG00000273805.1	1315	ENSG00000273805	AC083805.3	antisense_RNA
AL008638.4	ENSG00000279848.1	1315	ENSG00000279848	AL008638.4	lincRNA
B9D2	ENSG00000123810.7	1316	ENSG00000123810	B9D2	protein_coding
CITED4	ENSG00000179862.6	1316	ENSG00000179862	CITED4	protein_coding
SPANXN5	ENSG00000204363.4	1316	ENSG00000204363	SPANXN5	protein_coding
EIF3EP1	ENSG00000234882.1	1316	ENSG00000234882	EIF3EP1	processed_pseudogene
APOC2	ENSG00000234906.9	1316	ENSG00000234906	APOC2	protein_coding
TRIM52-AS1	ENSG00000248275.1	1316	ENSG00000248275	TRIM52-AS1	processed_transcript
QRSL1P3	ENSG00000257957.1	1316	ENSG00000257957	QRSL1P3	processed_pseudogene
AC079907.2	ENSG00000258308.5	1316	ENSG00000258308	AC079907.2	lincRNA
PSMC1P11	ENSG00000217385.1	1317	ENSG00000217385	PSMC1P11	processed_pseudogene
LINC00115	ENSG00000225880.5	1317	ENSG00000225880	LINC00115	lincRNA
KNOP1P2	ENSG00000270429.1	1317	ENSG00000270429	KNOP1P2	processed_pseudogene
CHIC2	ENSG00000109220.10	1318	ENSG00000109220	CHIC2	protein_coding
CCR8	ENSG00000179934.6	1318	ENSG00000179934	CCR8	protein_coding
PSMC1P3	ENSG00000231244.1	1318	ENSG00000231244	PSMC1P3	processed_pseudogene
RPS20P22	ENSG00000239218.2	1318	ENSG00000239218	RPS20P22	transcribed_processed_pseudogene
AL122126.1	ENSG00000258065.1	1318	ENSG00000258065	AL122126.1	processed_pseudogene
OSTF1	ENSG00000134996.11	1319	ENSG00000134996	OSTF1	protein_coding
BCL2L10	ENSG00000137875.4	1319	ENSG00000137875	BCL2L10	protein_coding
SLC25A52	ENSG00000141437.8	1319	ENSG00000141437	SLC25A52	protein_coding
FOXS1	ENSG00000179772.7	1319	ENSG00000179772	FOXS1	protein_coding
AC018880.1	ENSG00000221849.2	1319	ENSG00000221849	AC018880.1	processed_pseudogene
CICP22	ENSG00000226220.1	1319	ENSG00000226220	CICP22	processed_pseudogene
MIRLET7DHG	ENSG00000230262.6	1319	ENSG00000230262	MIRLET7DHG	lincRNA
AL627309.3	ENSG00000239945.1	1319	ENSG00000239945	AL627309.3	lincRNA
PSMC1P6	ENSG00000240255.1	1319	ENSG00000240255	PSMC1P6	processed_pseudogene
LINC02147	ENSG00000249797.1	1319	ENSG00000249797	LINC02147	lincRNA
AC106785.2	ENSG00000260611.1	1319	ENSG00000260611	AC106785.2	lincRNA
SAP30	ENSG00000164105.3	1320	ENSG00000164105	SAP30	protein_coding
SFN	ENSG00000175793.11	1320	ENSG00000175793	SFN	protein_coding
FLT1P1	ENSG00000229515.1	1320	ENSG00000229515	FLT1P1	processed_pseudogene
TRIM51JP	ENSG00000232717.1	1320	ENSG00000232717	TRIM51JP	unprocessed_pseudogene
PSMC1P1	ENSG00000241506.1	1320	ENSG00000241506	PSMC1P1	processed_pseudogene
CCDC166	ENSG00000255181.3	1320	ENSG00000255181	CCDC166	protein_coding
RNF126P1	ENSG00000261192.1	1320	ENSG00000261192	RNF126P1	transcribed_processed_pseudogene
AC008432.1	ENSG00000273569.1	1320	ENSG00000273569	AC008432.1	processed_pseudogene
TMEM14C	ENSG00000111843.13	1321	ENSG00000111843	TMEM14C	protein_coding
SFTPD	ENSG00000133661.15	1321	ENSG00000133661	SFTPD	protein_coding
CHAC2	ENSG00000143942.4	1321	ENSG00000143942	CHAC2	protein_coding
RTP3	ENSG00000163825.3	1321	ENSG00000163825	RTP3	protein_coding
SLC35G5	ENSG00000177710.5	1321	ENSG00000177710	SLC35G5	protein_coding
ATP5A1P1	ENSG00000234861.2	1321	ENSG00000234861	ATP5A1P1	processed_pseudogene
LINC02070	ENSG00000241328.1	1321	ENSG00000241328	LINC02070	lincRNA
ZNF793-AS1	ENSG00000266916.5	1321	ENSG00000266916	ZNF793-AS1	antisense_RNA
CT45A2	ENSG00000271449.7	1321	ENSG00000271449	CT45A2	protein_coding
